ID_g;ID_File;LWD63;LWD125;LWD250;LWD500;LWD1000;LWD2000;LWD4000;LWD8000;P10;P25;P50;P75;P90;Alpha;T
48;2;33,46683417;49,17249564;57,44618753;62,43596507;50,8802898;45,55161623;42,74538137;36,25310242;-48,94528146;-40,88316448;-33,75515533;-27,58092974;-23,61188491;4;9
49;2;29,34027694;37,24707179;47,87895665;52,43619654;54,48946344;50,29154914;40,17508262;34,30298628;-53,16234877;-44,91873981;-37,80274968;-32,69272685;-29,02732998;4,5;10
50;2;29,33439367;34,48158997;48,68580642;54,5740967;48,23380178;39,81528092;44,245808;48,60509784;-53,28383172;-45,39874534;-38,92152051;-33,89183891;-30,20538845;5;11
51;2;27,77695236;54,25650544;60,0421829;63,57654466;52,43623567;54,29104612;41,25727444;41,67508795;-53,28383172;-43,06502126;-31,34073938;-24,78435954;-20,84480841;5,5;12
52;2;38,2455563;57,41583659;63,8104558;63,3569591;52,87446826;58,06145224;44,73205161;44,09460461;-45,39874534;-36,86704154;-29,82749895;-23,74752633;-19,87551713;6;13
53;2;37,77811157;42,58054468;57,41893994;56,27205103;45,20070117;50,00686485;41,24692823;37,98170498;-59,42763781;-51,72062018;-43,07444198;-34,4471667;-27,52968934;6,5;14
54;2;43,23887183;32,60877044;57,58762044;54,30779043;48,58663722;46,03807312;44,52638041;46,92268587;-51,32119857;-42,70477386;-35,65308845;-30,71803121;-27,61271129;7;15
55;2;30,14716798;45,70244256;63,07837368;60,73196087;47,01694011;51,84331764;44,51320464;55,0817526;-48,72537378;-40,23318504;-32,9950775;-26,29198874;-21,48735603;7,5;16
56;2;23,14116951;31,05835417;44,08162864;46,68034913;41,73301467;36,69262347;32,22997427;26,68613132;-65,2035486;-56,86704154;-49,72132315;-42,49029656;-37,05384207;8;17
57;2;17,41361316;21,47843301;41,96727561;39,69747989;37,72402823;37,93187553;32,08790935;22,85980867;-78,26779887;-68,72537378;-57,63962959;-46,39100565;-41,18167804;8,5;18
58;2;20,0255059;29,78342364;50,89154645;48,0046098;37,13459364;37,41110842;32,4173763;29,63589668;-73,4070379;-64,28839879;-51,92743685;-40,68014613;-34,01073507;9;19
59;2;21,51209308;31,22749779;48,8056598;46,92434451;46,90096082;46,35489579;38,8613812;43,51137967;-58,05332156;-49,96833191;-42,999239;-37,07274499;-32,98325192;9,5;20
60;3;6,879083029;0,083390745;7,43088695;-1,555508412;-10,16617085;-11,23697708;-9,562688419;-2,627292332;#NAME?;-90,3089987;-78,26779887;-70,3089987;-65,2035486;0;1
61;3;13,39356246;18,48323055;22,27727833;16,20522922;12,4129952;13,30007757;7,570095829;1,500768485;-78,26779887;-68,72537378;-62,00953174;-56,5050771;-52,03272165;0,5;2
62;3;20,61013227;26,38706218;35,26600564;48,49596797;33,44618785;33,16594458;29,46849923;8,247624387;-61,06103874;-53,0425415;-46,11869841;-39,73066469;-30,95803917;1;3
63;3;29,29760814;33,38507522;46,33172577;43,38087301;30,74159142;35,23926205;30,28539476;8,166160731;-54,32218771;-46,44650673;-39,78221315;-34,87724908;-30,74538836;1,5;4
64;3;35,54909896;38,60778306;48,40701624;44,39616237;36,75747191;35,40321158;31,75708276;9,286201753;-51,61902967;-43,11228905;-36,15759518;-30,82798064;-26,87446963;2;5
65;3;41,68258301;41,70567534;50,16720732;51,10910764;53,48926825;43,49953613;33,96313618;17,66417257;-45,80281306;-37,82335678;-31,09007478;-25,43459945;-20,6312646;2,5;6
66;3;45,69927079;48,20635335;54,25762995;52,20125572;54,95563086;45,86395628;33,47397212;16,57184618;-43,57980402;-35,25267008;-28,14446557;-22,37455313;-17,71836042;3;7
67;3;46,26210959;53,86656738;57,18597704;55,78850783;42,55276912;47,4055081;39,42699527;20,73427745;-39,67942036;-31,86487315;-25,09326533;-20,10614471;-16,78226103;3,5;8
68;3;44,66310328;52,61976775;55,69753506;44,81121569;31,47757862;36,2651833;37,62790275;19,4349713;-46,962652;-38,69049919;-31,27253799;-24,08239965;-18,69962302;4;9
69;3;42,64227193;48,58682716;46,37307987;39,74712074;30,55235566;40,97378599;38,8940665;20,55905941;-49,40253912;-41,03113892;-34,37751203;-29,09504189;-25,13146611;4,5;10
70;3;47,35834369;52,19015065;51,80095647;38,88651987;36,89582038;52,58648586;44,32256355;20,55996703;-43,53986883;-35,85632025;-28,95270848;-23,54784119;-19,89932804;5;11
71;3;46,75225996;55,72937989;61,50837379;50,23972905;49,53357014;58,26619453;47,66163627;28,32072034;-36,75685964;-28,440565;-21,66565331;-16,47720298;-13,18288137;5,5;12
72;3;45,22481732;51,23157367;59,5185193;56,29889488;49,11669478;54,04625559;43,86792064;27,78673322;-39,70500474;-31,32852225;-24,13771043;-18,88472456;-14,96127983;6;13
73;3;45,59085762;52,6446192;54,16913484;63,18556496;52,29184603;50,36902014;37,8941237;19,5049001;-37,16788164;-28,98993909;-21,95292425;-16,64310374;-12,58561645;6,5;14
74;3;46,19872004;54,05709259;55,89177092;54,54849346;44,77089474;46,40155673;37,17900166;15,95044276;-40,07400818;-31,84411833;-25,53804095;-20,81884592;-17,36505705;7;15
75;3;42,499572;50,71662874;57,54846247;47,16865489;44,6918256;40,84951883;32,47307703;13,15534567;-42,999239;-34,93623667;-28,39166963;-22,73377519;-18,34632578;7,5;16
76;3;43,83893651;51,43321173;57,07816647;53,17449396;40,10941658;48,25349513;37,5039263;16,84904549;-41,2121015;-32,91263454;-25,79764443;-20,78686436;-17,7228459;8;17
